ID,CompanyCode,CompanyAbbreviation
1,1504,東元
2,1507,永大
3,1513,中興電工
4,1528,恩德
5,1530,亞崴
6,1539,巨庭
7,1540,喬福
8,1560,中砂
9,1583,程泰
10,1590,亞德客
11,1597,直得
12,2049,上銀
13,3167,大量
14,4526,東台
15,4532,瑞智
16,4540,全球傳動
17,4552,力達
18,4555,氣立
19,4562,穎漢
20,4566,時碩工業
21,4571,鈞興
22,4576,大銀微系統
23,1586,和勤
24,2067,嘉鋼
25,3178,公準
26,4510,高鋒
27,4513,福裕
28,4523,永彰
29,4533,協易機械
30,4563,百德
31,6425,易發
32,6603,富強鑫
33,6609,瀧澤科
34,8027,鈦昇
35,4544,春日
36,4573,高明鐵
37,4575,銓寶
38,1557,金豐機器
39,2359,所羅門
40,2360,致茂
41,2464,盟立
42,3030,德律
43,6196,帆宣
44,6215,和椿
45,6438,迅得
46,6698,旭暉應材
47,3131,弘塑
48,3498,陽程
49,5536,聖暉
50,6187,萬潤
51,8383,千附
52,4577,達航
53,3413,京鼎
54,3583,辛耘
55,6515,穎崴
56,3581,博磊
57,3680,家登
58,6223,旺矽
59,6532,瑞耘
60,6640,均華
61,5297,廣化
62,3563,牧德
63,6706,惠特
64,3455,由田
65,5443,均豪
66,6125,廣運
67,6234,高僑
68,8064,東捷
69,3485,敘豐
70,4537,旭東
71,2308,台達電
72,2467,志聖
73,1595,川寶
74,6208,日揚
75,4503,金雨
